season,week,date,time,away_team,home_team,game_url
2010,8,2010-10-31,1:05PM,Jacksonville Jaguars,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/201010310dal.htm
2010,8,2010-10-31,1:06PM,Miami Dolphins,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/201010310cin.htm
2010,8,2010-10-31,1:07PM,Denver Broncos,San Francisco 49ers,https://www.pro-football-reference.com/boxscores/201010310sfo.htm
2010,8,2010-10-31,1:08PM,Buffalo Bills,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201010310kan.htm
2010,8,2010-10-31,4:05PM,Tennessee Titans,San Diego Chargers,https://www.pro-football-reference.com/boxscores/201010310sdg.htm
2010,8,2010-10-31,4:15PM,Tampa Bay Buccaneers,Arizona Cardinals,https://www.pro-football-reference.com/boxscores/201010310crd.htm
2010,8,2010-10-31,4:15PM,Minnesota Vikings,New England Patriots,https://www.pro-football-reference.com/boxscores/201010310nwe.htm
2010,8,2010-10-31,4:15PM,Seattle Seahawks,Oakland Raiders,https://www.pro-football-reference.com/boxscores/201010310rai.htm
2010,8,2010-10-31,8:30PM,Pittsburgh Steelers,New Orleans Saints,https://www.pro-football-reference.com/boxscores/201010310nor.htm
2010,8,2010-11-01,8:41PM,Houston Texans,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/201011010clt.htm
2010,9,2010-11-07,1:02PM,Tampa Bay Buccaneers,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/201011070atl.htm
2010,9,2010-11-07,1:02PM,Chicago Bears,Buffalo Bills,https://www.pro-football-reference.com/boxscores/201011070buf.htm
2010,9,2010-11-07,1:02PM,New England Patriots,Cleveland Browns,https://www.pro-football-reference.com/boxscores/201011070cle.htm
2010,9,2010-11-07,1:02PM,San Diego Chargers,Houston Texans,https://www.pro-football-reference.com/boxscores/201011070htx.htm
2010,9,2010-11-07,1:02PM,Miami Dolphins,Baltimore Ravens,https://www.pro-football-reference.com/boxscores/201011070rav.htm
